,Type of Record,Rank,Name,Total
0,Total Fights,1,Jim Miller,45.0
1,Total Fights,2,Andrei Arlovski,42.0
2,Total Fights,3,Donald Cerrone,38.0
3,Total Fights,4,Clay Guida,37.0
4,Total Fights,5,Rafael Dos Anjos,36.0
5,Total Fights,6,Jeremy Stephens,34.0
6,Total Fights,6,Charles Oliveira,34.0
7,Total Fights,6,Neil Magny,34.0
8,Total Fights,9,Demian Maia,33.0
9,Total Fights,10,Diego Sanchez,32.0
10,Wins,1,Jim Miller,27.0
11,Wins,2,Andrei Arlovski,23.0
12,Wins,2,Donald Cerrone,23.0
13,Wins,2,Charles Oliveira,23.0
14,Wins,5,Demian Maia,22.0
15,Wins,5,Jon Jones,22.0
16,Wins,5,Dustin Poirier,22.0
17,Wins,5,Max Holloway,22.0
18,Wins,5,Neil Magny,22.0
19,Wins,10,Rafael Dos Anjos,21.0
20,Finishes,1,Charles Oliveira,20.0
21,Finishes,2,Jim Miller,19.0
22,Finishes,3,Donald Cerrone,16.0
23,Finishes,4,Matt Brown,15.0
24,Finishes,4,Dustin Poirier,15.0
25,Finishes,4,Derrick Lewis,15.0
26,Finishes,7,Anderson Silva,14.0
27,Finishes,7,Vicente Luque,14.0
28,Finishes,9,Frank Mir,13.0
29,Finishes,9,Joe Lauzon,13.0
30,Finishes,9,Max Holloway,13.0
31,Finishes,9,Glover Teixeira,13.0
32,KO/TKO Wins,1,Derrick Lewis,15.0
33,KO/TKO Wins,2,Matt Brown,13.0
34,KO/TKO Wins,3,Anderson Silva,11.0
35,KO/TKO Wins,3,Anthony Johnson,11.0
36,KO/TKO Wins,3,Dustin Poirier,11.0
37,KO/TKO Wins,3,Max Holloway,11.0
38,KO/TKO Wins,3,Thiago Santos,11.0
39,KO/TKO Wins,8,Michael Bisping,10.0
40,KO/TKO Wins,8,Cain Velasquez,10.0
41,KO/TKO Wins,8,Junior Dos Santos,10.0
42,KO/TKO Wins,8,Donald Cerrone,10.0
43,KO/TKO Wins,8,Francis Ngannou,10.0
44,Submission Wins,1,Charles Oliveira,16.0
45,Submission Wins,2,Jim Miller,13.0
46,Submission Wins,3,Demian Maia,11.0
47,Submission Wins,3,Gerald Meerschaert,11.0
48,Submission Wins,5,Nate Diaz,10.0
49,Submission Wins,6,Frank Mir,8.0
50,Submission Wins,6,Michael Chiesa,8.0
51,Submission Wins,6,Gunnar Nelson,8.0
52,Submission Wins,6,Islam Makhachev,8.0
53,Submission Wins,10,Kenny Florian,7.0
54,Submission Wins,10,Cole Miller,7.0
55,Submission Wins,10,Joe Lauzon,7.0
56,Submission Wins,10,Rani Yahya,7.0
57,Submission Wins,10,Glover Teixeira,7.0
58,Submission Wins,10,Aleksei Oleinik,7.0
